"Time","Status","Age","Transport","Independence_Level","Independence","Extraversion_Level","Extraversion","Selfcontrol_level","Selfcontrol","Anxiety_Level","Anxiety","Turnover","Industry_HighT_Group","PowerIndustry","Profession_Group","Risk_Group","Risk_Group2","RiskGroup_Profession_Industry","RiskGroup_Age_Anxiety"
"23",22.47227926,TRUE,"<=35","car",4.8,"Independent",7.8,"Extraverted",5.7," NO Selfcontrol",7.1,"Anxious",1,"Banks","BCA","Others","High Risk","Low Risk","Low Risk","High Risk"
"24",59.20328542,TRUE,"<=35","bus",4.8,"Independent",5.4,"Introverted",7.2,"Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"25",59.20328542,TRUE,"<=35","bus",4.1,"Independent",4.6,"Introverted",8.7,"Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"26",12.38603696,TRUE,">35","car",6.9,"Independent",7.8,"Extraverted",3.3," NO Selfcontrol",3.3," NO Anxious",1,"Banks","BCA","Others","Low Risk","Low Risk","Low Risk","Low Risk"
"27",24.3449692,TRUE,">35","bus",2.6,"No independent",7.8,"Extraverted",5.7," NO Selfcontrol",7.1,"Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"28",11.95893224,TRUE,"<=35","car",1.9,"No independent",3.8,"Introverted",9.5,"Selfcontrol",7.9,"Anxious",1,"Banks","BCA","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"29",3.252566735,TRUE,"<=35","bus",7.6,"Independent",3,"Introverted",7.2,"Selfcontrol",4," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"30",3.252566735,TRUE,"<=35","bus",8.4,"Independent",1.4,"Introverted",8,"Selfcontrol",4.8," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"31",14.58726899,TRUE,"<=35","bus",4.1,"Independent",8.6,"Extraverted",4.9," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"32",16.91991786,TRUE,"<=35","car",3.4,"No independent",4.6,"Introverted",4.1," NO Selfcontrol",8.7,"Anxious",1,"etc","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"33",28.15605749,TRUE,"<=35","bus",6.9,"Independent",3.8,"Introverted",6.4,"Selfcontrol",7.1,"Anxious",1,"etc","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"34",60.94455852,TRUE,"<=35","bus",6.2,"Independent",7,"Extraverted",4.1," NO Selfcontrol",2.5," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"35",87.68788501,TRUE,"<=35","bus",6.2,"Independent",7,"Extraverted",4.1," NO Selfcontrol",4," NO Anxious",1,"Consult","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"36",43.4661191,TRUE,"<=35","bus",4.1,"Independent",3,"Introverted",8.7,"Selfcontrol",7.1,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"37",22.73511294,TRUE,"<=35","car",5.5,"Independent",5.4,"Introverted",4.9," NO Selfcontrol",4.8," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"38",22.73511294,TRUE,"<=35","car",6.2,"Independent",6.2,"Extraverted",4.9," NO Selfcontrol",3.3," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"39",22.73511294,TRUE,"<=35","car",5.5,"Independent",5.4,"Introverted",4.9," NO Selfcontrol",4.8," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"40",22.73511294,TRUE,"<=35","car",6.2,"Independent",6.2,"Extraverted",4.9," NO Selfcontrol",3.3," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"41",13.07597536,TRUE,"<=35","bus",7.6,"Independent",5.4,"Introverted",4.9," NO Selfcontrol",3.3," NO Anxious",1,"etc","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"42",7.589322382,TRUE,"<=35","car",4.8,"Independent",7,"Extraverted",6.4,"Selfcontrol",4," NO Anxious",1,"etc","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"43",36.23819302,TRUE,"<=35","car",7.6,"Independent",3,"Introverted",7.2,"Selfcontrol",4.8," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"44",19.08829569,TRUE,">35","car",7.6,"Independent",4.6,"Introverted",5.7," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"45",4.369609856,TRUE,"<=35","bus",3.4,"No independent",6.2,"Extraverted",8,"Selfcontrol",3.3," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"46",80.98562628,TRUE,"<=35","bus",6.2,"Independent",3.8,"Introverted",8,"Selfcontrol",4," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"47",9.100616016,TRUE,"<=35","car",4.8,"Independent",7,"Extraverted",4.1," NO Selfcontrol",7.1,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"48",36.92813142,TRUE,">35","bus",6.2,"Independent",4.6,"Introverted",4.9," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"49",3.975359343,TRUE,"<=35","bus",5.5,"Independent",7.8,"Extraverted",5.7," NO Selfcontrol",4," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"50",3.975359343,TRUE,"<=35","bus",6.2,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"51",3.975359343,TRUE,"<=35","bus",6.2,"Independent",7,"Extraverted",5.7," NO Selfcontrol",4," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"52",7.589322382,TRUE,">35","foot",4.8,"Independent",4.6,"Introverted",7.2,"Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"53",95.21149897,TRUE,"<=35","bus",4.8,"Independent",8.6,"Extraverted",4.9," NO Selfcontrol",4," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"54",41.69199179,TRUE,"<=35","foot",5.5,"Independent",7.8,"Extraverted",2.6," NO Selfcontrol",7.1,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"55",14.9486653,TRUE,"<=35","bus",6.2,"Independent",8.6,"Extraverted",3.3," NO Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"56",50.72689938,TRUE,">35","car",3.4,"No independent",6.2,"Extraverted",7.2,"Selfcontrol",6.3,"Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"57",50.72689938,TRUE,">35","car",5.5,"Independent",7,"Extraverted",5.7," NO Selfcontrol",6.3,"Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"58",35.28542094,TRUE,"<=35","bus",4.8,"Independent",10,"Extraverted",4.1," NO Selfcontrol",5.6," NO Anxious",1,"Consult","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"59",35.28542094,TRUE,"<=35","bus",4.8,"Independent",8.6,"Extraverted",4.1," NO Selfcontrol",6.3,"Anxious",1,"Consult","BCA","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"60",35.94250513,TRUE,">35","car",3.4,"No independent",8.6,"Extraverted",6.4,"Selfcontrol",4," NO Anxious",1,"Banks","BCA","Others","Low Risk","Low Risk","Low Risk","Low Risk"
"61",15.57289528,TRUE,"<=35","foot",7.6,"Independent",6.2,"Extraverted",3.3," NO Selfcontrol",3.3," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"62",15.57289528,TRUE,"<=35","foot",7.6,"Independent",6.2,"Extraverted",3.3," NO Selfcontrol",3.3," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"63",52.96098563,TRUE,">35","car",4.1,"Independent",4.6,"Introverted",8,"Selfcontrol",5.6," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"64",7.819301848,TRUE,"<=35","bus",5.5,"Independent",4.6,"Introverted",7.2,"Selfcontrol",3.3," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"65",81.83983573,TRUE,"<=35","foot",6.9,"Independent",3.8,"Introverted",6.4,"Selfcontrol",5.6," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"66",55.72073922,TRUE,"<=35","bus",6.2,"Independent",7,"Extraverted",4.1," NO Selfcontrol",4," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"67",4.336755647,TRUE,"<=35","car",4.8,"Independent",3.8,"Introverted",5.7," NO Selfcontrol",7.9,"Anxious",1,"manufacture","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"68",18.95687885,TRUE,">35","car",4.1,"Independent",6.2,"Extraverted",6.4,"Selfcontrol",6.3,"Anxious",1,"etc","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"69",18.95687885,TRUE,">35","car",2.6,"No independent",8.6,"Extraverted",7.2,"Selfcontrol",4.8," NO Anxious",1,"etc","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"70",53.81519507,TRUE,"<=35","foot",9.1,"Independent",4.6,"Introverted",4.1," NO Selfcontrol",4," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"71",90.51334702,TRUE,"<=35","bus",5.5,"Independent",6.2,"Extraverted",3.3," NO Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"72",40.57494867,TRUE,"<=35","bus",4.8,"Independent",6.2,"Extraverted",6.4,"Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","Others","Low Risk","Low Risk","Low Risk","Low Risk"
"73",59.49897331,TRUE,"<=35","bus",5.5,"Independent",7,"Extraverted",3.3," NO Selfcontrol",6.3,"Anxious",1,"others","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"74",6.603696099,TRUE,"<=35","foot",5.5,"Independent",7.8,"Extraverted",1," NO Selfcontrol",9.4,"Anxious",1,"manufacture","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"75",44.78028747,TRUE,">35","bus",4.8,"Independent",7.8,"Extraverted",4.9," NO Selfcontrol",5.6," NO Anxious",1,"etc","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"76",6.669404517,TRUE,"<=35","bus",5.5,"Independent",6.2,"Extraverted",6.4,"Selfcontrol",4," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"77",15.70431211,FALSE,"<=35","car",5.5,"Independent",8.6,"Extraverted",4.1," NO Selfcontrol",5.6," NO Anxious",0,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"78",15.70431211,FALSE,"<=35","car",3.4,"No independent",8.6,"Extraverted",4.1," NO Selfcontrol",7.1,"Anxious",0,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"79",15.70431211,FALSE,"<=35","car",4.1,"Independent",7.8,"Extraverted",4.1," NO Selfcontrol",7.1,"Anxious",0,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"80",59.20328542,TRUE,"<=35","bus",4.8,"Independent",5.4,"Introverted",7.2,"Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"81",59.20328542,TRUE,"<=35","bus",4.1,"Independent",4.6,"Introverted",8.7,"Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"82",17.3798768,TRUE,"<=35","bus",6.9,"Independent",5.4,"Introverted",4.9," NO Selfcontrol",4," NO Anxious",1,"Consult","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"83",38.86652977,TRUE,"<=35","bus",6.9,"Independent",5.4,"Introverted",2.6," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"84",7.950718686,TRUE,"<=35","car",6.2,"Independent",7,"Extraverted",7.2,"Selfcontrol",2.5," NO Anxious",1,"Banks","BCA","Others","Low Risk","Low Risk","Low Risk","Low Risk"
"85",7.950718686,TRUE,"<=35","car",6.9,"Independent",8.6,"Extraverted",5.7," NO Selfcontrol",3.3," NO Anxious",1,"Banks","BCA","Others","Low Risk","Low Risk","Low Risk","Low Risk"
"86",96.52566735,TRUE,"<=35","bus",4.8,"Independent",6.2,"Extraverted",7.2,"Selfcontrol",4," NO Anxious",1,"IT","IT","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"87",86.53798768,TRUE,"<=35","bus",6.9,"Independent",3.8,"Introverted",8,"Selfcontrol",1.7," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"88",52.862423,TRUE,">35","car",5.5,"Independent",4.6,"Introverted",7.2,"Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"89",17.57700205,TRUE,"<=35","bus",6.2,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"90",17.57700205,TRUE,"<=35","bus",7.6,"Independent",6.2,"Extraverted",4.1," NO Selfcontrol",4.8," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"91",25.06776181,TRUE,"<=35","bus",4.8,"Independent",6.2,"Extraverted",4.1," NO Selfcontrol",4," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"92",86.83367556,TRUE,"<=35","car",5.5,"Independent",7,"Extraverted",1.8," NO Selfcontrol",6.3,"Anxious",1,"manufacture","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"93",13.10882957,TRUE,"<=35","car",4.1,"Independent",6.2,"Extraverted",4.9," NO Selfcontrol",6.3,"Anxious",1,"etc","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"94",26.18480493,TRUE,"<=35","bus",6.9,"Independent",4.6,"Introverted",4.1," NO Selfcontrol",5.6," NO Anxious",1,"etc","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"95",9.626283368,TRUE,"<=35","bus",6.9,"Independent",5.4,"Introverted",5.7," NO Selfcontrol",3.3," NO Anxious",1,"Consult","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"96",9.889117043,TRUE,"<=35","bus",6.9,"Independent",5.4,"Introverted",5.7," NO Selfcontrol",3.3," NO Anxious",1,"Consult","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"97",3.351129363,TRUE,"<=35","bus",6.9,"Independent",4.6,"Introverted",5.7," NO Selfcontrol",5.6," NO Anxious",1,"Consult","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"98",15.3100616,TRUE,"<=35","bus",1,"No independent",2.2,"Introverted",8,"Selfcontrol",8.7,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"99",80.06570842,TRUE,">35","bus",5.5,"Independent",3,"Introverted",10,"Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"100",16.78850103,TRUE,"<=35","bus",6.9,"Independent",7,"Extraverted",5.7," NO Selfcontrol",4," NO Anxious",1,"etc","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"101",19.44969199,TRUE,"<=35","bus",6.2,"Independent",5.4,"Introverted",4.1," NO Selfcontrol",8.7,"Anxious",1,"etc","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"102",9.034907598,TRUE,">35","bus",7.6,"Independent",3.8,"Introverted",4.9," NO Selfcontrol",7.1,"Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"103",18.49691992,TRUE,"<=35","bus",6.2,"Independent",7.8,"Extraverted",3.3," NO Selfcontrol",4," NO Anxious",1,"etc","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"104",53.19096509,TRUE,">35","bus",4.8,"Independent",7,"Extraverted",5.7," NO Selfcontrol",6.3,"Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"105",42.57905544,TRUE,"<=35","bus",6.2,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"106",23.6550308,TRUE,">35","bus",5.5,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"107",41.29774127,TRUE,"<=35","bus",1.9,"No independent",3.8,"Introverted",8.7,"Selfcontrol",6.3,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"108",41.29774127,TRUE,"<=35","bus",2.6,"No independent",5.4,"Introverted",8,"Selfcontrol",7.1,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"109",123.3347023,TRUE,"<=35","bus",4.8,"Independent",4.6,"Introverted",6.4,"Selfcontrol",7.1,"Anxious",1,"Banks","BCA","IT","High Risk","Medium Risk","Medium Risk","High Risk"
"110",123.3347023,TRUE,"<=35","bus",6.2,"Independent",4.6,"Introverted",6.4,"Selfcontrol",4," NO Anxious",1,"Banks","BCA","IT","Low Risk","Medium Risk","Medium Risk","Low Risk"
"111",13.17453799,TRUE,"<=35","car",6.2,"Independent",8.6,"Extraverted",1," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","IT","Low Risk","Medium Risk","Medium Risk","Low Risk"
"112",13.17453799,TRUE,"<=35","car",6.2,"Independent",7,"Extraverted",2.6," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","IT","Low Risk","Medium Risk","Medium Risk","Low Risk"
"113",14.85010267,TRUE,"<=35","car",5.5,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",5.6," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"114",24.24640657,TRUE,"<=35","bus",7.6,"Independent",3.8,"Introverted",7.2,"Selfcontrol",2.5," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"115",12.09034908,TRUE,"<=35","bus",4.8,"Independent",7,"Extraverted",4.9," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"116",11.49897331,TRUE,"<=35","bus",6.2,"Independent",4.6,"Introverted",5.7," NO Selfcontrol",4," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"117",11.49897331,TRUE,"<=35","bus",5.5,"Independent",4.6,"Introverted",6.4,"Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"118",27.36755647,TRUE,"<=35","car",4.8,"Independent",7,"Extraverted",1.8," NO Selfcontrol",8.7,"Anxious",1,"others","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"119",15.54004107,TRUE,">35","car",4.1,"Independent",6.2,"Extraverted",1.8," NO Selfcontrol",8.7,"Anxious",1,"IT","IT","IT","Low Risk","High Risk","High Risk","Low Risk"
"120",4.960985626,TRUE,">35","foot",4.1,"Independent",9.4,"Extraverted",4.9," NO Selfcontrol",4," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"121",19.8110883,TRUE,"<=35","bus",4.8,"Independent",5.4,"Introverted",8.7,"Selfcontrol",5.6," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"122",103.3921971,TRUE,"<=35","car",4.8,"Independent",3.8,"Introverted",9.5,"Selfcontrol",6.3,"Anxious",1,"Banks","BCA","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"123",3.975359343,TRUE,"<=35","bus",5.5,"Independent",7.8,"Extraverted",5.7," NO Selfcontrol",4," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"124",3.975359343,TRUE,"<=35","bus",6.2,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",6.3,"Anxious",1,"others","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"125",3.975359343,TRUE,"<=35","bus",6.2,"Independent",7,"Extraverted",5.7," NO Selfcontrol",4," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"126",70.93223819,TRUE,"<=35","bus",5.5,"Independent",3.8,"Introverted",8.7,"Selfcontrol",3.3," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"127",70.93223819,TRUE,"<=35","bus",6.9,"Independent",3,"Introverted",6.4,"Selfcontrol",3.3," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"128",51.94250513,TRUE,">35","bus",8.4,"Independent",6.2,"Extraverted",3.3," NO Selfcontrol",3.3," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"129",38.76796715,TRUE,"<=35","foot",6.2,"Independent",7.8,"Extraverted",2.6," NO Selfcontrol",5.6," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"130",38.76796715,TRUE,"<=35","foot",3.4,"No independent",7,"Extraverted",3.3," NO Selfcontrol",7.1,"Anxious",1,"Banks","BCA","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"131",34.95687885,TRUE,"<=35","car",3.4,"No independent",4.6,"Introverted",8.7,"Selfcontrol",7.9,"Anxious",1,"others","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"132",49.3798768,TRUE,"<=35","car",6.9,"Independent",5.4,"Introverted",6.4,"Selfcontrol",4," NO Anxious",1,"etc","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
